keywords,pulsarId,week_tag
armies,0_87317_126_t1_j06ohbg,from 2022-12-08 to 2022-12-14
uni,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
gelar,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
pertemuan,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
dengan,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
asean,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
brussels,0_87317_16_07a4137bf5bd1211d6c0a861a8f40c40,from 2022-12-08 to 2022-12-14
uni,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
gelar,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
pertemuan,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
dengan,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
asean,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
brussels,0_87317_16_7109c7f0355a675da0e003dcebcfd9e1,from 2022-12-08 to 2022-12-14
world,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
ocean,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
assessment,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
momentum,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
perkenalkan,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
pariwisata,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
belitung,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
ke,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
dunia,0_87317_16_87fd886b042fd5e847e3f3f23355abee,from 2022-12-08 to 2022-12-14
country,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
borders,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
shifted,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
time,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
eventually,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
contain,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
original,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
territory,0_87317_126_t1_j06kkth,from 2022-12-08 to 2022-12-14
verbal,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
clash,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
indian,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
itbp,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
officer,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
soldiers,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
indo-tibetian,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
border,0_87317_126_t1_j06hmcq,from 2022-12-08 to 2022-12-14
verbal,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
clash,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
indian,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
itbp,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
officer,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
soldiers,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
indo-tibetian,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
border,0_87317_126_t1_j06ggw4,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
transgression,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
pushed,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
india,0_87317_126_t1_j06ekbe,from 2022-12-08 to 2022-12-14
philippines,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
chinese,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
vessels,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
reef,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
shoal,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
great,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
concern,0_87317_16_d23f9ca3c753b84fed8181dc99e9d22c,from 2022-12-08 to 2022-12-14
plans,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
propose,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
€10bil,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
investment,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
south-east,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
asia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
uni,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
alokasikan,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
10,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
miliar,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
euro,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
untuk,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
investasi,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
asean,0_87317_16_123596bcc8b19e09354718e23346f9e4,from 2022-12-08 to 2022-12-14
